Frequency,Name,Signal Level,Address,Channel
2.437,eduroam,-47,58:97:1E:56:A9:D2,6
2.437,NAU,-47,58:97:1E:56:A9:D1,6
5.56,NAU,-48,58:97:1E:56:A9:DE,112
2.437,NAU Guest,-48,58:97:1E:56:A9:D0,6
5.56,NAU Guest,-49,58:97:1E:56:A9:DF,112
5.56,eduroam,-49,58:97:1E:56:A9:DD,112
2.462,eduroam,-55,1C:E6:C7:F0:FD:F2,11
2.462,NAU Guest,-56,1C:E6:C7:F0:FD:F0,11
2.462,NAU,-56,1C:E6:C7:F0:FD:F1,11
5.28,NAU,-60,1C:E6:C7:F0:FD:FE,56
5.28,NAU Guest,-60,1C:E6:C7:F0:FD:FF,56
5.28,eduroam,-60,1C:E6:C7:F0:FD:FD,56
2.412,NAU,-75,58:97:1E:57:61:51,1
2.462,DIRECT-KNLAPTOP-GMQR95MFmsFD,-75,62:5B:C2:D5:6B:63,11
5.5,NAU Guest,-84,1C:E6:C7:F0:7D:5F,100
2.437,DIRECT-4A-HP DeskJet 3630 series,-85,30:E1:71:A0:9B:4D,6
5.66,NAU Guest,-85,58:97:1E:57:61:5F,132
5.66,eduroam,-86,58:97:1E:57:61:5D,132
5.66,NAU,-86,58:97:1E:57:61:5E,132
5.22,NAU Guest,-87,1C:E6:C7:F1:45:8F,44
5.22,eduroam,-87,1C:E6:C7:F1:45:8D,44
5.22,NAU,-87,1C:E6:C7:F1:45:8E,44
2.437,HP-Print-01-Officejet 6700,-93,A0:1D:48:1B:2F:01,6
5.26,NAU,-93,58:97:1E:56:B0:4E,52
